,Labels,Scores
0,0,0.06358353048563004
1,0,0.43696483969688416
2,0,0.7769968509674072
3,0,0.668177604675293
4,0,0.018625356256961823
5,0,0.07372521609067917
6,0,0.0024942399468272924
7,0,0.18914496898651123
8,0,0.189260333776474
9,0,0.18509522080421448
10,0,0.2104068249464035
11,0,0.46394941210746765
12,0,0.006047699600458145
13,0,0.008254170417785645
14,0,0.8286941051483154
15,0,0.3355310559272766
16,0,0.7052537202835083
17,0,0.6916940212249756
18,0,0.7915226817131042
19,0,0.3029824197292328
20,0,0.7170606255531311
21,0,0.13257409632205963
22,0,0.5914640426635742
23,0,0.07660681009292603
24,0,0.848056972026825
25,0,0.0050229658372700214
26,0,0.9408551454544067
27,0,0.23860974609851837
28,0,0.8170647025108337
29,0,0.002433876972645521
30,1,0.1541241854429245
31,1,0.9188950061798096
32,1,0.8657987713813782
33,1,0.2950824499130249
34,1,0.9490755200386047
35,1,0.18382528424263
36,1,0.7530002593994141
37,1,0.23293162882328033
38,1,0.8450287580490112
39,1,0.9078377485275269
40,1,0.9058434963226318
41,1,0.20228922367095947
42,1,0.8689660429954529
43,1,0.9243687987327576
44,1,0.8867964148521423
45,1,0.949207067489624
46,1,0.7708724141120911
47,1,0.2785085141658783
48,1,0.7009066939353943
49,1,0.1913221776485443
50,1,0.7785911560058594
51,1,0.24393737316131592
52,1,0.8476125001907349
53,1,0.9742222428321838
54,1,0.8094543218612671
55,1,0.08257921040058136
56,1,0.8297466039657593
57,1,0.1517813801765442
58,1,0.7795141339302063
59,1,0.9441725611686707
60,1,0.09509537369012833
61,1,0.9207348227500916
62,1,0.2518845498561859
63,1,0.8327014446258545
64,1,0.20112280547618866
65,0,0.9627580642700195
66,0,0.5351710319519043
67,0,0.2487422376871109
68,0,0.4235844016075134
69,0,0.7985594272613525
70,0,0.4208056628704071
71,0,0.28512436151504517
72,0,0.23777112364768982
73,0,0.7759271860122681
74,0,0.24648107588291168
75,0,0.6527982354164124
76,0,0.9935991764068604
77,0,0.635308563709259
78,0,0.7837755084037781
79,0,0.7952229380607605
80,0,0.33205828070640564
81,0,0.19385582208633423
82,0,0.8721392750740051
83,0,0.4374740719795227
84,0,0.9677725434303284
85,0,0.08809666335582733
86,0,0.5694335699081421
87,0,0.5394501090049744
88,0,0.1346139758825302
89,0,0.17633113265037537
90,0,0.4540114402770996
91,0,0.5507844686508179
92,0,0.25772520899772644
